lng	lat	count
114.3418115503	34.8211866328	63
114.353211467	34.8172829121	91
114.3496197045	34.8211299036	153
114.3523482962	34.8215331413	135
114.3412885785	34.8188650389	172
114.3482730315	34.8183860401	230
114.3424512033	34.8185494269	195
114.3472461557	34.820652522	104
114.3498485116	34.8208305731	128
114.3581312635	34.8204373225	186
114.3486496981	34.8189995281	33
114.3621605443	34.820417209	130
114.3554751713	34.8184594362	95
114.3516768597	34.8162244587	11
114.3515999591	34.8169197737	213
114.3551958069	34.819096448	103
114.3583151886	34.8201798585	168
114.3509679443	34.8207196084	248
114.3612723888	34.8163652858	217
114.3554149114	34.8169694311	126
114.3519990369	34.8170134716	110
114.3520495497	34.8188929883	241
114.3474405939	34.8167530735	17
114.3514804843	34.8192518186	42
114.3535956929	34.8200986187	160
114.3508299884	34.8212713433	24
114.3601275506	34.8214265839	121
114.354646223	34.8171970134	214
114.360693198	34.8211222427	78
114.3536858448	34.817109776	42
114.3429310305	34.8164849251	6
114.3501928279	34.8165026803	47
114.3558649271	34.8213922553	1
114.3506928913	34.8183960528	104
114.3575732745	34.820159311	206
114.349342535	34.8192861453	60
114.3417909302	34.8204807808	211
114.3480696721	34.818423576	230
114.3513795472	34.8175787052	55
114.3509246577	34.8209353579	43
114.3437835149	34.8161144767	85
114.3523721835	34.8166607647	238
114.3501420375	34.8216449397	47
114.3492481732	34.8167508235	178
114.3434257559	34.8189116765	201
114.3616543395	34.8203243063	248
114.341694374	34.8209385274	169
114.3430210492	34.8193595556	195
114.3443053923	34.816247757	47
114.3519216128	34.8214020192	47
114.3464739836	34.8182741496	110
114.3540526953	34.8173664282	151
114.362118745	34.8180490671	165
114.3491486707	34.818149551	246
114.3523705471	34.8209022746	210
114.3439661429	34.8164935673	11
114.3552455254	34.8183714042	173
114.3565199924	34.8216093706	143
114.3457679702	34.8170278463	196
114.361168633	34.8199558517	73
114.3588388049	34.8197351605	168
114.3530061863	34.8215088214	80
114.346598514	34.8180957288	120
114.343762739	34.8189307063	85
114.3605153175	34.8175235107	26
114.3462476849	34.8174184694	108
114.359814147	34.8178135144	114
114.3501349788	34.8164050223	172
114.3595455633	34.8210902768	61
114.361187095	34.8207005185	86
114.3558395405	34.8170475517	171
114.3511025279	34.8194500752	143
114.3598189085	34.8197908519	56
114.3536670361	34.8180711403	54
114.3539385719	34.8173707451	56
114.3610125551	34.8182421815	28
114.3465910348	34.8200744957	230
114.3477291266	34.8166942463	205
114.3556188764	34.8174480784	40
114.3491680867	34.8162196045	242
114.3607066393	34.8169080848	28
114.3488649745	34.8192898203	163
114.342804782	34.8169930318	225
114.3467682676	34.8213171522	215
114.3489093798	34.8196047369	244
114.3427006472	34.8180971292	220
114.358021596	34.8194595591	83
114.343160605	34.8183363188	242
114.3506793873	34.8186060287	101
114.3613971243	34.8208670944	250
114.3427669061	34.8206369043	67
114.3477922092	34.8177501694	9
114.3524631447	34.8189776572	206
114.3601146558	34.8170733458	207
114.3523291848	34.8202552327	163
114.3544523657	34.8189221385	105
114.3533732976	34.8215092937	42
114.3488746494	34.8165649596	150
114.3496182559	34.8168749173	236
114.3512129413	34.818429007	93
114.3412425599	34.8185811145	82
114.3417519234	34.82019724	72
114.3440696473	34.8201809383	144
114.3472762956	34.8175470386	68
114.3583343323	34.8175520965	26
114.3493009389	34.8203116381	244
114.3525575835	34.8169640014	19
114.3589587148	34.8167354304	120
114.3533964756	34.8198922148	132
114.3412683347	34.8182027376	51
114.3543377054	34.8199484621	82
114.3467452174	34.8210704229	155
114.3411276558	34.8193015009	170
114.3450874136	34.8202738221	246
114.3458390293	34.8171313167	199
114.3484580166	34.8214886089	194
114.3594262451	34.8170486919	107
114.3594226369	34.817190291	5
114.3487962558	34.8169739971	10
114.3602796122	34.8190850412	48
114.3571470737	34.8176898475	163
114.3558318538	34.8206679658	55
114.3478731742	34.8195710153	9
114.351696288	34.8162374184	217
114.3430865044	34.8167021154	142
114.3556354677	34.8214589274	32
114.343334939	34.8206747675	186
114.3583865777	34.8191576639	33
114.3608975183	34.8187790743	85
114.3480002735	34.816351437	239
114.3473297754	34.817067167	148
114.3549892894	34.8175530003	122
114.3573606681	34.8173980889	186
114.3481942016	34.8215014113	168
114.3422930127	34.820258985	158
114.3461507476	34.8191098524	46
114.3579606094	34.8192148521	9
114.3425865095	34.8193530786	51
114.3413491395	34.8190279	178
114.3620266604	34.8175458443	245
114.358830029	34.8213865999	135
114.354455609	34.8202069431	213
114.3563081452	34.8167640334	217
114.3545098001	34.8208493796	240
114.3457191879	34.8164498957	219
114.359328771	34.8214567019	109
114.3512710465	34.8176852429	134
114.3551242221	34.8174028368	134
114.3620716477	34.8198635211	220
114.3541090528	34.8203249183	176
114.3495678519	34.8179059649	248
114.3503509911	34.818386747	216
114.3434200234	34.8206089433	237
114.3613722919	34.8183456059	55
114.3535786817	34.8195022883	156
114.3476353677	34.8165000574	231
114.3471768976	34.8194738016	179
114.3542466614	34.8216224023	142
114.3576074445	34.8202074069	79
114.3447038803	34.8209181936	6
114.34820026	34.8167443092	189
114.3532189143	34.8210656954	113
114.3512789822	34.8203548158	231
114.3544003908	34.8196482018	21
114.3500032606	34.8162644619	155
114.3481465922	34.8203803027	111
114.3574942271	34.8194123658	238
114.3515804251	34.8173998279	134
114.3426371088	34.8180108646	145
114.3584704927	34.8182488044	15
114.3557652125	34.8196992132	127
114.3568774532	34.8182906331	39
114.3598224289	34.8200856871	192
114.3545506162	34.8206546541	132
114.3614620287	34.8171697952	129
114.344276367	34.8204366256	213
114.3451260575	34.8183685765	136
114.3512192831	34.8195123818	93
114.3461430516	34.8161255757	93
114.3438830875	34.8178515373	239
114.3555715638	34.816305805	60
114.3598023569	34.8212087786	204
114.3568065438	34.8191945333	233
114.3575502777	34.8165621685	105
114.3549310235	34.8202267138	32
114.3571730063	34.8179649467	81
114.3502546599	34.8201871634	3
114.3507262021	34.8182016014	88
114.3433661591	34.8173096669	170
114.361847464	34.8195409916	119
114.3607204032	34.8167059357	27
114.3433216988	34.8172929761	41
114.3567043712	34.8199695793	87
114.3416618903	34.8178150769	19
114.3531267387	34.8203892099	140
114.3554852532	34.8203901112	43
114.3448301457	34.8185412723	122
114.3443732294	34.8203367427	225
114.3469826379	34.8186291008	154
114.3455291052	34.8178283007	9
114.3492208304	34.8167643401	221
114.3550714678	34.821143978	14
114.3473326413	34.8203740498	93
114.3451058324	34.8212990414	247
114.34608537	34.8179998547	245
114.3586227812	34.8183558416	78
114.3549902113	34.8173963066	15
114.3534411108	34.817076912	170
114.3488500984	34.820833846	122
114.3530219092	34.8199706529	15
114.3446387404	34.8209339087	122
114.359756383	34.8179290551	225
114.3500672477	34.8162554696	201
114.3621320299	34.8164915456	80
114.3536351759	34.8190918795	111
114.3477321464	34.8187933743	209
114.3449527048	34.8198465274	14
114.352801273	34.8167925478	156
114.3522080615	34.8205107009	87
114.3502389655	34.817063417	39
114.3443910058	34.8209714128	19
114.3443804248	34.819201705	1
114.342692856	34.8173313812	244
114.3444858429	34.821352559	128
114.3411660145	34.817122774	8
114.360757262	34.8182332331	125
114.3479238502	34.8198925615	217
114.3588805738	34.8180252929	199
114.3515113049	34.8181244987	12
114.3428006015	34.8213015675	168
114.3430007067	34.8169647713	76
114.354797736	34.8200571019	181
114.3481842569	34.8198420138	45
114.3447257803	34.8187622064	71
114.3461459906	34.8206786097	66
114.3433099884	34.8193083073	204
114.3481432387	34.8195301994	40
114.3545129245	34.8191617879	212
114.3547001138	34.8180054214	93
114.3458026612	34.8214998048	141
114.3497221543	34.8167791882	133
114.3592965528	34.821238027	165
114.3530586433	34.8163625711	69
114.3434973081	34.8205284336	200
114.348846808	34.8170632645	57
114.3514201855	34.8198266017	40
114.3416287556	34.8169039345	58
114.3556204586	34.8208774081	220
114.3604721501	34.8202560871	226
114.3555614793	34.8168453805	122
114.354317321	34.8212390285	232
114.3579716104	34.8187938246	205
114.3524430994	34.8190831129	241
114.351514705	34.8172258549	53
114.3533231107	34.8194465354	23
114.3611447105	34.8177288998	222
114.3431065616	34.8167916039	190
114.3517990798	34.8172017827	116
114.345318799	34.8201796111	26
114.3415490259	34.8163399723	5
114.3422598221	34.817299328	213
114.3599334014	34.8175902691	77
114.3457428673	34.8203494598	128
114.3576803773	34.8204338992	225
114.3531517145	34.8168300484	245
114.3412199913	34.82062651	221
114.3521889504	34.8213557051	152
114.3545563373	34.8179098974	175
114.3552001835	34.8189574966	62
114.3431589564	34.8182538804	50
114.3562067738	34.8211861253	213
114.3541706269	34.8163682011	113
114.3617265988	34.8190346513	198
114.3579799199	34.8209882775	4
114.3414467036	34.8197679107	141
114.3616767583	34.817553814	215
114.3421759566	34.8187287216	82
114.345946208	34.8207884957	121
114.3448239572	34.8198346718	49
114.3478469045	34.8202011856	172
114.3486438847	34.8196717529	57
114.350451813	34.8192283093	33
114.3566757933	34.8162062568	47
114.3445798563	34.8164669732	57
114.3513897331	34.8172324252	240
114.3466978634	34.8163786349	148
114.3575106747	34.8190778556	47
114.3422519474	34.8168737002	77
114.3589512122	34.8202128749	240
114.359973278	34.8170475992	140
114.3535315985	34.8177875937	244
114.3433058859	34.8186408284	181
114.3542002407	34.8170402994	15
114.3608079994	34.8182375907	221
114.3441202548	34.8204519443	161
114.357649277	34.8167409965	23
114.3620763131	34.8205097885	223
114.3528495521	34.8214084482	4
114.3598352229	34.8213733003	167
114.342125123	34.8167548443	184
114.3492581443	34.8181893093	94
114.3534248525	34.8167909998	85
114.3559146574	34.8167302856	187
114.3614683155	34.8190877935	137
114.3445526894	34.8179347386	102
114.3434850979	34.8165524802	101
114.346348265	34.8215098877	236
114.3606524078	34.8187534355	207
114.347642452	34.8172674934	197
114.3583329711	34.8205826201	143
114.3616197683	34.8204011366	162
114.3528061781	34.818597832	76
114.3601449571	34.817657573	85
114.3581273855	34.818261004	11
114.3581000154	34.8187135338	38
114.3463793007	34.8183651112	162
114.3592629427	34.8213042664	32
114.3559130799	34.8213075807	211
114.3464656753	34.8178958005	83
114.3611505627	34.8171971691	132
114.3448059368	34.8180641769	180
114.3577966557	34.8199968722	67
114.3487008191	34.820741078	94
114.3574137237	34.8193943013	71
114.3492664194	34.8203569499	112
114.3567636724	34.8186385635	137
114.3620020641	34.8188588756	168
114.3466176915	34.8198739858	201
114.348202455	34.8173243087	30
114.3607004279	34.81908761	204
114.3531867375	34.8205041729	17
114.343102409	34.8194305165	156
114.3448033558	34.8165120965	142
114.3561050928	34.821449398	139
114.3468473079	34.8176058008	50
114.3442823287	34.8172644007	36
114.3475128549	34.8171165287	83
114.3595365525	34.8166599155	154
114.3545291959	34.8180855554	139
114.3453485642	34.8184319646	3
114.3442271011	34.8188558548	72
114.347096986	34.8182692173	217
114.3451526813	34.8202705376	63
114.3613927011	34.8185976852	143
114.361709846	34.8216121107	208
114.352275775	34.8199846084	91
114.3471928025	34.8173160506	60
114.3460025553	34.8213340585	61
114.360536768	34.819033877	39
114.3519062182	34.8185809234	126
114.3617315817	34.8209212765	216
114.3569564766	34.818391514	52
114.3601964273	34.8208327721	2
114.3513568693	34.8213013147	239
114.3534741756	34.8173862659	228
114.3504574322	34.8191624744	226
114.3555343666	34.8206062324	36
114.3437126071	34.821029718	186
114.346959017	34.8179636124	10
114.3442748488	34.8180357703	102
114.3532936711	34.8161568785	2
114.3560795549	34.8203965715	78
114.3561419171	34.8181803458	159
114.3447211118	34.8205884905	6
114.3478678753	34.8208795721	38
114.3505676742	34.8167351951	84
114.3457904606	34.8204704852	119
114.3525086192	34.8214197033	99
114.3512708762	34.820426314	98
114.3589593287	34.8202941343	27
114.3427614306	34.8206761036	213
114.345297974	34.8211400703	155
114.3500214402	34.8168640971	151
114.3596047752	34.8166757504	147
114.35128637	34.8185290163	41
114.347760271	34.8203196025	224
114.3566776979	34.8176292798	170
114.3600061058	34.8193416722	28
114.3619859749	34.8211490424	104
114.3619687913	34.8203036985	58
114.3539311401	34.8164836354	89
114.3472846715	34.8202990281	211
114.359888069	34.8205841537	12
114.3582873223	34.8215680654	127
114.3585359051	34.8175019858	24
114.3600612083	34.8179344189	27
114.3496809837	34.8215625301	188
114.3412420516	34.8186322081	129
114.3417791896	34.8210971855	39
114.3526658497	34.81856008	119
114.3560651056	34.818457707	5
114.3446620455	34.8191425108	122
114.3426508062	34.8164276631	121
114.3487441989	34.8213060692	116
114.344979681	34.818830589	225
114.3600169694	34.8183863403	66
114.3462108662	34.8184737178	124
114.3565726227	34.8193479415	8
114.3503588652	34.8172894629	8
114.3441238451	34.8206456875	61
114.3487042378	34.8173461045	135
114.3494015224	34.8214880978	66
114.3517600122	34.8197359108	162
114.3517796293	34.8187805261	19
114.3505875373	34.8182753915	88
114.350665715	34.8213391791	77
114.3504949687	34.8187441067	23
114.3621331932	34.8180409807	201
114.3575050569	34.819504826	9
114.3561199452	34.8214243792	31
114.3599378282	34.8208341889	171
114.3505616619	34.8173439866	73
114.3562761315	34.8214791803	15
114.3526314141	34.8205295707	73
114.3592957634	34.8165035616	69
114.3558740487	34.8205546892	4
114.3524263655	34.8210413149	50
114.3438892494	34.8205618971	54
114.3480960097	34.8190101032	53
114.3457097994	34.8188286259	198
114.3468553467	34.8213053147	26
114.3420636939	34.8198953629	88
114.3619907001	34.8174789978	172
114.3437052695	34.8167201445	9
114.3421795405	34.8185325136	156
114.3468894226	34.8163977278	246
114.3542289377	34.8190089184	142
114.3554525634	34.8183535487	215
114.3502214522	34.8207245942	227
114.3463860155	34.8214013591	106
114.3440416525	34.818143994	4
114.356986754	34.8215013956	217
114.3547964247	34.8167846716	54
114.3460663695	34.8207241013	157
114.3524394196	34.8168366177	67
114.353615356	34.8213894785	144
114.3449803552	34.8169382502	147
114.3511593295	34.8178287193	139
114.3573762606	34.8187549115	237
114.3445216444	34.8174922417	208
114.3415610939	34.8167851677	78
114.3435047031	34.8216036983	124
114.358336063	34.8212862847	48
114.3512431521	34.8189613919	77
114.3416847633	34.8201893917	205
114.3574469318	34.8215862053	6
114.3621992302	34.8185978513	166
114.3446059999	34.8175586177	38
114.3435434543	34.8182741371	17
114.3424808114	34.8216490128	196
114.3569474136	34.8199818803	177
114.3453648634	34.8206206652	207
114.3466430974	34.8205815089	27
114.3483527831	34.8196509952	235
114.3600135656	34.819466871	230
114.3557067175	34.8198463877	78
114.3433587246	34.8215566273	46
114.3500003791	34.8172250016	100
114.3497453987	34.8203216759	74
114.3410656243	34.8167754327	249
114.3583128974	34.8200506495	212
114.351187535	34.8193751779	155
114.3425120856	34.8186257843	154
114.3565581754	34.8213770475	244
114.3418554327	34.8163474349	150
114.3410909835	34.819780511	94
114.3553158092	34.8173639872	161
114.3454927428	34.8196527415	166
114.3437842459	34.8187614851	113
114.3544700199	34.8195072023	80
114.3429216648	34.8174243875	194
114.348628868	34.8165670624	64
114.3431924762	34.816321342	53
114.3527385978	34.8211181063	150
114.3431198877	34.8198245056	68
114.3472431415	34.8187747677	237
114.3533977885	34.8211975683	22
114.3413404715	34.8201262043	98
114.3554817723	34.8186489134	135
114.3434195197	34.8190986803	101
114.3472243086	34.8201276677	141
114.3501182673	34.8168225096	58
114.3599262788	34.8181200485	179
114.3575208845	34.817167177	66
114.3552492766	34.8190368944	73
114.3596650075	34.8204168986	183
114.3492743641	34.8191225268	62
114.3598251135	34.820146818	235
114.3498193422	34.8206564264	84
114.3440594585	34.818866094	3
114.3580551631	34.8168120543	198
114.3420927421	34.8203159047	149
114.3453568319	34.8190193818	184
114.3548034387	34.8169402376	170
114.3529198233	34.8181830048	2
114.3444341631	34.8215416667	109
114.3421564209	34.8190787756	58
114.345510502	34.8200486274	240
114.3472482989	34.8177375076	58
114.3479929871	34.8168734975	86
114.3557233759	34.8167373241	100
114.3511250188	34.8194986345	166
114.3601280773	34.8200770161	144
114.3596466389	34.820822783	10
114.3530562372	34.8207709784	36
114.3454287742	34.8162590109	195
114.3491358555	34.8192691643	122
114.3423707887	34.8164319694	126
114.35879248	34.8168961842	189
114.3462362004	34.8165208287	109
114.3431302217	34.8200328332	123
114.354638524	34.8164386468	150
114.3608614548	34.8172829837	68
114.351429123	34.8201542292	101
114.3466953232	34.8201135739	160
114.353824948	34.8173770058	13
114.3570875901	34.8208286499	24
114.3483657749	34.8177766037	38
114.3514142797	34.8173405295	71
114.3416856559	34.8182951473	117
114.3412515615	34.8188909406	147
114.3596776837	34.8174903378	122
114.3423323687	34.817998404	22
114.3454749667	34.8162888185	103
114.3422972086	34.8199009099	125
114.3533097019	34.8192352015	173
114.3562161671	34.8170237791	64
114.3495082725	34.8193081288	124
114.3473155807	34.8164539013	115
114.357775166	34.8188190513	40
114.3604794608	34.8167574915	113
114.3466034155	34.817708317	53
114.3420204782	34.8167395931	231
114.3432068062	34.8187864149	28
114.3494956934	34.8199422	148
114.3546082407	34.8213189693	84
114.3506038656	34.8170294085	93
114.3465124323	34.8188824154	232
114.3563971791	34.8162438635	5
114.3546338845	34.8194610211	164
114.3565932927	34.8162966301	219
114.341838107	34.8178085568	131
114.3606548392	34.8164596188	181
114.3467003833	34.8182709353	135
114.343695747	34.8209993247	223
114.3490853618	34.8175839283	33
114.3516758036	34.8174272094	244
114.3441451012	34.8193211068	173
114.3530158877	34.8199747106	10
114.36171938	34.8201770263	183
114.3436594656	34.81930441	169
114.3574410087	34.8192744703	212
114.3444062792	34.8202693784	6
114.3571358325	34.8200347045	101
114.3568297366	34.8165466447	136
114.3553633272	34.8196569603	232
114.3546177313	34.8205963892	232
114.3443221169	34.8189048939	246
114.3517153266	34.8192389682	221
114.3476286581	34.8170871267	185
114.3440363588	34.8214073316	213
114.3447730635	34.8214925169	4
114.3448537068	34.8196732778	36
114.3471821945	34.8189790562	193
114.3444173338	34.8199545027	56
114.3453220662	34.8167501036	146
114.3428418054	34.8183484911	230
114.350082113	34.8187621745	146
114.3488043785	34.8192310019	97
114.3552586029	34.8208524076	56
114.3577695882	34.8173762786	147
114.3504827912	34.8167656158	42
114.3522268853	34.8197155955	241
114.3589642772	34.8164701053	141
114.355206655	34.816264359	232
114.3593040816	34.8175272508	96
114.3444161415	34.8172535646	225
114.341984054	34.820428454	218
114.358471161	34.8214077231	205
114.357765334	34.8199111792	160
114.3525828832	34.8211618213	189
114.3475986423	34.8178208496	123
114.3426196103	34.8173610826	114
114.35396033	34.8164058701	239
114.3560904637	34.8164020097	206
114.3423608281	34.819596254	57
114.3609969025	34.8191533529	99
114.3464612198	34.8166141986	41
114.3451375199	34.8172419481	127
114.3499939018	34.8176382019	2
114.359344606	34.8161065681	66
114.348036082	34.8209960451	95
114.3424201473	34.8173161919	44
114.3565429387	34.8202810482	198
114.3441017116	34.8209598803	122
114.3573497855	34.8163582192	118
114.349076605	34.8177502518	66
114.3446425003	34.81699286	36
114.3428088791	34.8205682548	58
114.3580318258	34.8195342768	31
114.3457574913	34.8202269026	124
114.3574116664	34.8213789223	85
114.3578487016	34.8162898111	154
114.3581480031	34.8198014458	227
114.3551901736	34.8209368956	56
114.3470082434	34.8174643186	177
114.3455881112	34.8214610117	101
114.3458332734	34.8208302839	82
114.3571466945	34.8201412084	6
114.3579359923	34.8206677507	214
114.3536709316	34.8176851946	204
114.3413437425	34.8216598016	201
114.3430276257	34.8202805871	212
114.3487374518	34.8178757654	31
114.341182884	34.8171974625	88
114.344789004	34.8180978682	180
114.3445717146	34.8184486529	116
114.3475147831	34.8189355777	126
114.348653626	34.8198443385	243
114.3473988501	34.8166528191	47
114.346711587	34.8213984595	39
114.3549553592	34.8190451656	93
114.3412079016	34.816400832	160
114.3555239349	34.8170988765	169
114.3570034403	34.8186926995	136
114.3545513516	34.8168663297	155
114.359626129	34.8213237263	242
114.3611509123	34.8192902171	208
114.3477297094	34.8167008597	193
114.3575991457	34.8213092873	86
114.3497821637	34.8195789993	102
114.3560148046	34.821170046	138
114.3419432644	34.8201455349	81
114.352293005	34.8208519406	208
114.3603620368	34.8164061056	86
114.3534502292	34.8203031047	235
114.3498361457	34.8166707028	150
114.3577816921	34.8194923048	211
114.3504930183	34.8168530179	201
114.3425509271	34.8216164259	230
114.3524704711	34.8178706121	214
114.3569052838	34.8165981328	248
114.3472600808	34.8184050828	222
114.358965683	34.8210206207	215
114.3460322615	34.8203936728	61
114.3472786979	34.8211765287	74
114.3492517924	34.8212208621	147
114.3548664666	34.8207426537	108
114.3488693322	34.8171394072	170
114.3488327757	34.8200544052	162
114.3433372843	34.8165970701	94
114.3574996674	34.8163093712	247
114.3567297516	34.8174260676	228
114.3442704846	34.8179525028	112
114.3433979273	34.8167503	191
114.3474863912	34.818966888	131
114.3509045069	34.8181145761	94
114.3446753728	34.8213098982	172
114.3523617074	34.8174804671	115
114.3514832736	34.8212265306	102
114.3414788537	34.8194616708	91
114.346233838	34.8178111511	166
114.3539364671	34.8205551492	211
114.3581513048	34.816494455	40
114.3603231219	34.8173881503	127
114.34664246	34.8214495702	199
114.3437417984	34.8170010182	219
114.3547947213	34.8172716865	123
114.3572349833	34.8201182916	191
114.3580004106	34.8167985542	110
114.3415007476	34.8163425769	4
114.3497243459	34.8178149538	40
114.3481160491	34.8205158348	215
114.3516840769	34.8216024981	49
114.3509526597	34.8182859067	123
114.3613202222	34.816289121	84
114.3487231701	34.8209676412	222
114.3620296375	34.8213203669	181
114.3552885468	34.8189791919	138
114.3418518597	34.8181191336	14
114.3534019398	34.8178119577	162
114.3577676963	34.8208073987	58
114.3463641195	34.8163693185	104
114.3539064236	34.820800885	25
114.3580609262	34.8165148729	133
114.3570401386	34.8213672236	248
114.3445165766	34.8186857132	205
114.3509627205	34.8190294858	145
114.3414470192	34.8161659747	128
114.3540209587	34.81621588	121
114.3533269642	34.8214884908	206
114.3543611664	34.8207388227	118
114.3492311502	34.8190919271	16
114.3430659083	34.8161630974	124
114.3618453104	34.8189556621	158
114.3515369809	34.8165130861	5
114.3505388117	34.8172279137	185
114.3435730724	34.8182733617	21
114.362097415	34.8194528574	48
114.3427354439	34.8207890337	204
114.3492115814	34.8198222664	147
114.3567441241	34.8185475785	136
114.3543356336	34.8188831822	201
114.3585594215	34.8194315279	250
114.3448570686	34.8186216762	203
114.3580129391	34.8207537456	223
114.3562163584	34.8201273486	179
114.3525840633	34.817174146	132
114.3448476375	34.819692916	215
114.3568816543	34.8166177783	86
114.3547183677	34.8192384391	123
114.3512216016	34.8211623108	25
114.3496436352	34.8207994206	106
114.3425871371	34.8204859776	227
114.3421262251	34.821347353	250
114.3596745875	34.8186515935	185
114.3594433992	34.8174680443	189
